Date,Adj Close,Close,High,Low,Open,Volume,Max Close,Retracement
1993-01-29,24.31303024291992,43.9375,43.96875,43.75,43.96875,1003200,24.31303024291992,0.0
1993-02-01,24.48595428466797,44.25,44.25,43.96875,43.96875,480500,24.48595428466797,0.0
1993-02-02,24.53783226013184,44.34375,44.375,44.125,44.21875,201300,24.53783226013184,0.0
1993-02-03,24.79721641540528,44.8125,44.84375,44.375,44.40625,529400,24.79721641540528,0.0
1993-02-04,24.90096473693848,45.0,45.09375,44.46875,44.96875,531500,24.90096473693848,0.0
1993-02-05,24.883684158325195,44.96875,45.0625,44.71875,44.96875,492100,24.90096473693848,-0.0006939722535187
1993-02-08,24.883684158325195,44.96875,45.125,44.90625,44.96875,596100,24.90096473693848,-0.0006939722535187
1993-02-09,24.71074867248535,44.65625,44.8125,44.5625,44.8125,122100,24.90096473693848,-0.0076389034104754
1993-02-10,24.74534797668457,44.71875,44.75,44.53125,44.65625,379600,24.90096473693848,-0.0062494269558586
1993-02-11,24.866397857666016,44.9375,45.125,44.78125,44.78125,19500,24.90096473693848,-0.0013881742991743
1993-02-12,24.676176071166992,44.59375,44.875,44.59375,44.875,42500,24.90096473693848,-0.0090273075017865
1993-02-16,24.05365562438965,43.46875,44.46875,43.40625,44.46875,374800,24.90096473693848,-0.034027160051832
1993-02-17,24.03636932373047,43.4375,43.53125,43.28125,43.46875,210900,24.90096473693848,-0.0347213620974876
1993-02-18,24.01907157897949,43.40625,43.9375,42.8125,43.9375,378100,24.90096473693848,-0.0354160237274171
1993-02-19,24.105531692504883,43.5625,43.5625,43.34375,43.40625,34900,24.90096473693848,-0.0319438645384545
1993-02-22,24.19198608398437,43.71875,43.78125,43.5625,43.6875,513600,24.90096473693848,-0.0284719351416292
1993-02-23,24.17469787597656,43.6875,43.875,43.46875,43.84375,373700,24.90096473693848,-0.0291662137846637
1993-02-24,24.48595428466797,44.25,44.25,43.71875,43.71875,26300,24.90096473693848,-0.0166664407043988
1993-02-25,24.53783226013184,44.34375,44.375,44.125,44.21875,44500,24.90096473693848,-0.0145830685936422
1993-02-26,24.572410583496094,44.40625,44.4375,44.1875,44.4375,66200,24.90096473693848,-0.0131944347101943
1993-03-01,24.50325584411621,44.28125,44.5625,44.21875,44.5625,66500,24.90096473693848,-0.0159716258797114
1993-03-02,24.866397857666016,44.9375,44.9375,44.25,44.3125,182400,24.90096473693848,-0.0013881742991743
1993-03-03,24.97013664245605,45.125,45.15625,44.9375,45.0,280100,24.97013664245605,0.0
1993-03-04,24.831796646118164,44.875,45.1875,44.875,45.1875,89500,24.97013664245605,-0.0055402178337571
1993-03-05,24.762645721435547,44.75,45.125,44.71875,44.9375,40000,24.97013664245605,-0.0083095628987353
1993-03-08,25.315996170043945,45.75,45.75,44.84375,44.84375,50800,25.315996170043945,0.0
1993-03-09,25.229530334472656,45.59375,45.6875,45.5,45.65625,169300,25.315996170043945,-0.0034154625000932
1993-03-10,25.28138732910156,45.6875,45.6875,45.40625,45.59375,194400,25.315996170043945,-0.0013670740313722
1993-03-11,25.212247848510746,45.5625,45.84375,45.5,45.71875,70900,25.315996170043945,-0.0040981330869358
1993-03-12,24.952856063842773,45.09375,45.21875,44.8125,45.1875,643600,25.315996170043945,-0.0143442945623001
1993-03-15,25.073904037475582,45.3125,45.3125,45.0625,45.0625,310800,25.315996170043945,-0.0095628128137745
1993-03-16,25.073904037475582,45.3125,45.4375,45.3125,45.3125,30800,25.315996170043945,-0.0095628128137745
1993-03-17,24.918275833129883,45.03125,45.25,44.96875,45.25,21800,25.315996170043945,-0.015710238469094
1993-03-18,25.073904037475582,45.3125,45.5,45.21875,45.21875,59300,25.315996170043945,-0.0095628128137745
1993-03-19,25.03595733642578,45.03125,45.28125,45.03125,45.28125,66900,25.315996170043945,-0.0110617347125976
1993-03-22,24.896955490112305,44.78125,44.875,44.5625,44.59375,183400,25.315996170043945,-0.0165524073047334
1993-03-23,24.94907188415528,44.875,44.9375,44.8125,44.90625,55200,25.315996170043945,-0.0144937723731703
1993-03-24,24.94907188415528,44.875,45.0625,44.59375,44.8125,37200,25.315996170043945,-0.0144937723731703
1993-03-25,25.10545539855957,45.15625,45.25,44.84375,44.90625,110100,25.315996170043945,-0.0083165114289875
1993-03-26,24.96646308898925,44.90625,45.15625,44.875,45.125,101500,25.315996170043945,-0.0138068073129308
1993-03-29,25.070701599121094,45.09375,45.3125,44.9375,44.9375,87100,25.315996170043945,-0.0096893114248889
1993-03-30,25.140199661254883,45.21875,45.21875,45.09375,45.15625,56000,25.315996170043945,-0.0069440881412788
1993-03-31,25.122833251953125,45.1875,45.46875,45.1875,45.34375,111600,25.315996170043945,-0.0076300737602175
1993-04-01,25.03595733642578,45.03125,45.25,44.9375,45.25,129500,25.315996170043945,-0.0110617347125976
1993-04-02,24.514732360839844,44.09375,44.65625,44.09375,44.65625,59400,25.315996170043945,-0.0316504949606614
1993-04-05,24.636363983154297,44.3125,44.4375,44.1875,44.4375,172200,25.315996170043945,-0.0268459586707414
1993-04-06,24.56686782836914,44.1875,44.40625,44.0625,44.40625,129700,25.315996170043945,-0.029591106612713
1993-04-07,24.65371894836425,44.34375,44.34375,44.15625,44.25,28000,25.315996170043945,-0.0261604251016341
1993-04-08,24.61898422241211,44.28125,44.53125,44.09375,44.53125,180800,25.315996170043945,-0.0275324716811499
1993-04-12,24.96646308898925,44.90625,44.9375,44.65625,44.71875,348500,25.315996170043945,-0.0138068073129308
1993-04-13,25.018564224243164,45.0,45.15625,44.84375,44.875,146100,25.315996170043945,-0.0117487751144759
1993-04-14,24.98383522033692,44.9375,45.0625,44.90625,45.03125,119600,25.315996170043945,-0.0131205956690761
1993-04-15,24.98383522033692,44.9375,45.03125,44.75,44.90625,148600,25.315996170043945,-0.0131205956690761
1993-04-16,24.98383522033692,44.9375,45.03125,44.875,44.96875,47900,25.315996170043945,-0.0131205956690761
1993-04-19,24.879589080810547,44.75,45.0625,44.71875,44.9375,157000,25.315996170043945,-0.0172383929236722
1993-04-20,24.757976531982425,44.53125,44.75,44.25,44.6875,279500,25.315996170043945,-0.0220421757972066
1993-04-21,24.740596771240234,44.5,44.625,44.375,44.625,67900,25.315996170043945,-0.0227286888076153
1993-04-22,24.427867889404297,43.9375,44.6875,43.9375,44.3125,97700,25.315996170043945,-0.0350817038632103
1993-04-23,24.323619842529297,43.75,43.96875,43.6875,43.84375,106000,25.315996170043945,-0.0391995764594447
1993-04-26,24.132509231567383,43.40625,43.9375,43.28125,43.78125,62600,25.315996170043945,-0.0467485826165894
1993-04-27,24.39311981201172,43.875,43.875,43.34375,43.34375,156800,25.315996170043945,-0.0364542778341961
1993-04-28,24.34100341796875,43.78125,43.90625,43.71875,43.8125,85900,25.315996170043945,-0.0385129127657591
1993-04-29,24.445236206054688,43.96875,43.96875,43.625,43.875,85000,25.315996170043945,-0.034395642902633
1993-04-30,24.479984283447266,44.03125,44.28125,44.03125,44.125,88500,25.315996170043945,-0.0330230689316472
1993-05-03,24.636363983154297,44.3125,44.3125,43.90625,44.09375,80500,25.315996170043945,-0.0268459586707414
1993-05-04,24.723228454589844,44.46875,44.625,44.34375,44.40625,149100,25.315996170043945,-0.0234147497681926
1993-05-05,24.79272079467773,44.59375,44.75,44.46875,44.46875,109000,25.315996170043945,-0.0206697525094982
1993-05-06,24.705841064453125,44.4375,44.5625,44.40625,44.53125,54700,25.315996170043945,-0.0241015641451553
1993-05-07,24.65371894836425,44.34375,44.46875,44.28125,44.46875,68000,25.315996170043945,-0.0261604251016341
1993-05-10,24.705841064453125,44.4375,44.6875,44.40625,44.40625,113900,25.315996170043945,-0.0241015641451553
1993-05-11,24.810094833374023,44.625,44.625,44.3125,44.4375,42600,25.315996170043945,-0.0199834655240052
1993-05-12,24.775352478027344,44.5625,44.59375,44.4375,44.4375,31000,25.315996170043945,-0.0213558134700753
1993-05-13,24.479984283447266,44.03125,44.375,44.0,44.375,129100,25.315996170043945,-0.0330230689316472
1993-05-14,24.462610244750977,44.0,44.15625,43.96875,44.03125,63500,25.315996170043945,-0.0337093559171401
1993-05-17,24.54949188232422,44.15625,44.15625,43.9375,44.125,34000,25.315996170043945,-0.0302774689398444
1993-05-18,24.532106399536133,44.125,44.21875,43.96875,44.1875,105200,25.315996170043945,-0.0309642079751686
1993-05-19,25.03595733642578,45.03125,45.03125,43.84375,44.125,50200,25.315996170043945,-0.0110617347125976
1993-05-20,25.10545539855957,45.15625,45.15625,44.9375,45.03125,98200,25.315996170043945,-0.0083165114289875
